time,Y,m,d,H,M,S,w,yweek,yday
1434857423,2015,06,21,11,30,23,0,25,172
1434859797,2015,06,21,12,09,57,0,25,172
1434855417,2015,06,21,10,56,57,0,25,172
1434851411,2015,06,21,09,50,11,0,25,172
1434849059,2015,06,21,09,10,59,0,25,172
1434781259,2015,06,20,14,20,59,6,24,171
1434781185,2015,06,20,14,19,45,6,24,171
1434731515,2015,06,20,00,31,55,6,24,171
1434765688,2015,06,20,10,01,28,6,24,171
1434734354,2015,06,20,01,19,14,6,24,171
1434738471,2015,06,20,02,27,51,6,24,171
1434731941,2015,06,20,00,39,01,6,24,171
1434869263,2015,06,21,14,47,43,0,25,172
1434858277,2015,06,21,11,44,37,0,25,172
1434742895,2015,06,20,03,41,35,6,24,171
1434856872,2015,06,21,11,21,12,0,25,172
1434870982,2015,06,21,15,16,22,0,25,172
1434862434,2015,06,21,12,53,54,0,25,172
1434853669,2015,06,21,10,27,49,0,25,172
1434853049,2015,06,21,10,17,29,0,25,172
1434867159,2015,06,21,14,12,39,0,25,172
1434865159,2015,06,21,13,39,19,0,25,172
1434857147,2015,06,21,11,25,47,0,25,172
1434867669,2015,06,21,14,21,09,0,25,172
1434866526,2015,06,21,14,02,06,0,25,172
1434875181,2015,06,21,16,26,21,0,25,172
1434754679,2015,06,20,06,57,59,6,24,171
1434741651,2015,06,20,03,20,51,6,24,171
1434857488,2015,06,21,11,31,28,0,25,172
1434871997,2015,06,21,15,33,17,0,25,172
1434866623,2015,06,21,14,03,43,0,25,172
1434871144,2015,06,21,15,19,04,0,25,172
1434757565,2015,06,20,07,46,05,6,24,171
1434877032,2015,06,21,16,57,12,0,25,172
1434760845,2015,06,20,08,40,45,6,24,171
1434879370,2015,06,21,17,36,10,0,25,172
1434875190,2015,06,21,16,26,30,0,25,172
1434753454,2015,06,20,06,37,34,6,24,171
1434867116,2015,06,21,14,11,56,0,25,172
1434761868,2015,06,20,08,57,48,6,24,171
1434877572,2015,06,21,17,06,12,0,25,172
1434877922,2015,06,21,17,12,02,0,25,172
1434879347,2015,06,21,17,35,47,0,25,172
1434868022,2015,06,21,14,27,02,0,25,172
1434763822,2015,06,20,09,30,22,6,24,171
1434763846,2015,06,20,09,30,46,6,24,171
1434763267,2015,06,20,09,21,07,6,24,171
1434764957,2015,06,20,09,49,17,6,24,171
1434882100,2015,06,21,18,21,40,0,25,172
1434888851,2015,06,21,20,14,11,0,25,172
1434868959,2015,06,21,14,42,39,0,25,172
1434768007,2015,06,20,10,40,07,6,24,171
1434886154,2015,06,21,19,29,14,0,25,172
1434893279,2015,06,21,21,27,59,0,25,172
1434882116,2015,06,21,18,21,56,0,25,172
1434877229,2015,06,21,17,00,29,0,25,172
1434889882,2015,06,21,20,31,22,0,25,172
1434886103,2015,06,21,19,28,23,0,25,172
1434770695,2015,06,20,11,24,55,6,24,171
1434772461,2015,06,20,11,54,21,6,24,171
1434889006,2015,06,21,20,16,46,0,25,172
1434888128,2015,06,21,20,02,08,0,25,172
1434890542,2015,06,21,20,42,22,0,25,172
1434805742,2015,06,20,21,09,02,6,24,171
1434788323,2015,06,20,16,18,43,6,24,171
1434780849,2015,06,20,14,14,09,6,24,171
1434854583,2015,06,21,10,43,03,0,25,172
1434859665,2015,06,21,12,07,45,0,25,172
1434810962,2015,06,20,22,36,02,6,24,171
1434822654,2015,06,21,01,50,54,0,25,172
1434854525,2015,06,21,10,42,05,0,25,172
1434811261,2015,06,20,22,41,01,6,24,171
1434860789,2015,06,21,12,26,29,0,25,172
1434868922,2015,06,21,14,42,02,0,25,172
1434808965,2015,06,20,22,02,45,6,24,171
1434823193,2015,06,21,01,59,53,0,25,172
1434851876,2015,06,21,09,57,56,0,25,172
1434843936,2015,06,21,07,45,36,0,25,172
1434809906,2015,06,20,22,18,26,6,24,171
1434860941,2015,06,21,12,29,01,0,25,172
1434875421,2015,06,21,16,30,21,0,25,172
1434877163,2015,06,21,16,59,23,0,25,172
1434879508,2015,06,21,17,38,28,0,25,172
1434866982,2015,06,21,14,09,42,0,25,172
1434889002,2015,06,21,20,16,42,0,25,172
1434886670,2015,06,21,19,37,50,0,25,172
1434886422,2015,06,21,19,33,42,0,25,172
1434882810,2015,06,21,18,33,30,0,25,172
1434876838,2015,06,21,16,53,58,0,25,172
1434857900,2015,06,21,11,38,20,0,25,172
1434888305,2015,06,21,20,05,05,0,25,172
1434896520,2015,06,21,22,22,00,0,25,172
1434898331,2015,06,21,22,52,11,0,25,172
1434902096,2015,06,21,23,54,56,0,25,172
1434898237,2015,06,21,22,50,37,0,25,172
1434897496,2015,06,21,22,38,16,0,25,172
1434897367,2015,06,21,22,36,07,0,25,172
1434894024,2015,06,21,21,40,24,0,25,172
1434767129,2015,06,20,10,25,29,6,24,171
1434897413,2015,06,21,22,36,53,0,25,172
1434767970,2015,06,20,10,39,30,6,24,171
1434766908,2015,06,20,10,21,48,6,24,171
1434896519,2015,06,21,22,21,59,0,25,172
1434768874,2015,06,20,10,54,34,6,24,171
1434895791,2015,06,21,22,09,51,0,25,172
1434897894,2015,06,21,22,44,54,0,25,172
1434870276,2015,06,21,15,04,36,0,25,172
1434869093,2015,06,21,14,44,53,0,25,172
1434901631,2015,06,21,23,47,11,0,25,172
1434900724,2015,06,21,23,32,04,0,25,172
1434898214,2015,06,21,22,50,14,0,25,172
1434909632,2015,06,22,02,00,32,1,25,173
1434777110,2015,06,20,13,11,50,6,24,171
1434776782,2015,06,20,13,06,22,6,24,171
1434789025,2015,06,20,16,30,25,6,24,171
1434791944,2015,06,20,17,19,04,6,24,171
1434905201,2015,06,22,00,46,41,1,25,173
1434899844,2015,06,21,23,17,24,0,25,172
1434901060,2015,06,21,23,37,40,0,25,172
1434906553,2015,06,22,01,09,13,1,25,173
1434928582,2015,06,22,07,16,22,1,25,173
1434920318,2015,06,22,04,58,38,1,25,173
1434907540,2015,06,22,01,25,40,1,25,173
1434903102,2015,06,22,00,11,42,1,25,173
1434928920,2015,06,22,07,22,00,1,25,173
1434936203,2015,06,22,09,23,23,1,25,173
1434871437,2015,06,21,15,23,57,0,25,172
1434936631,2015,06,22,09,30,31,1,25,173
1434935196,2015,06,22,09,06,36,1,25,173
1434934972,2015,06,22,09,02,52,1,25,173
1434934369,2015,06,22,08,52,49,1,25,173
1434933889,2015,06,22,08,44,49,1,25,173
1434933358,2015,06,22,08,35,58,1,25,173
1434875668,2015,06,21,16,34,28,0,25,172
1434929635,2015,06,22,07,33,55,1,25,173
1434930132,2015,06,22,07,42,12,1,25,173
1434935578,2015,06,22,09,12,58,1,25,173
1434933445,2015,06,22,08,37,25,1,25,173
1434934284,2015,06,22,08,51,24,1,25,173
1434931530,2015,06,22,08,05,30,1,25,173
1434932275,2015,06,22,08,17,55,1,25,173
1434881427,2015,06,21,18,10,27,0,25,172
1434807110,2015,06,20,21,31,50,6,24,171
1434942298,2015,06,22,11,04,58,1,25,173
1434932796,2015,06,22,08,26,36,1,25,173
1434940669,2015,06,22,10,37,49,1,25,173
1434879029,2015,06,21,17,30,29,0,25,172
1434937300,2015,06,22,09,41,40,1,25,173
1434877159,2015,06,21,16,59,19,0,25,172
1434932973,2015,06,22,08,29,33,1,25,173
1434940051,2015,06,22,10,27,31,1,25,173
1434879800,2015,06,21,17,43,20,0,25,172
1434879976,2015,06,21,17,46,16,0,25,172
1434937858,2015,06,22,09,50,58,1,25,173
1434881254,2015,06,21,18,07,34,0,25,172
1434934275,2015,06,22,08,51,15,1,25,173
