date,goods_name,len_p,len_n,min_p,min_n,m_p,m_n,sum_p,sum_n
2015-06-19,oil97,39,39,65500,9424,65500,28273.0,2554500,1078557
2015-06-20,oil93,144,144,59500,2811,59500,18740.0,8568000,3066546
2015-06-20,oil97,26,26,65500,18849,65500,29027.5,1703000,784159
2015-06-21,oil93,123,123,59500,9370,59500,18740.0,7318500,2501180
2015-06-21,oil97,26,26,65500,9424,65500,29451.0,1703000,806835
2015-06-22,oil93,157,157,59500,9370,59500,20462.0,9341500,3417851
2015-06-22,oil97,23,23,65500,18849,65500,28273.0,1506500,672221
2015-06-23,oil93,205,205,59500,4685,59500,19209.0,12197500,4367009
2015-06-23,oil97,37,37,65500,18849,65500,28273.0,2423500,1013046
2015-06-24,oil93,188,188,59500,4779,59500,19443.0,11186000,4010261
2015-06-24,oil97,47,47,65500,9424,65500,28273.0,3078500,1260881
2015-06-25,oil93,203,203,59500,7028,59500,18740.0,12078500,4202907
2015-06-25,oil97,34,34,65500,9424,65500,28273.0,2227000,977346
2015-06-26,oil93,217,217,59500,3748,59500,18740.0,12911500,4541461
2015-06-26,oil97,34,34,65500,9424,65500,26058.5,2227000,867425
2015-06-27,oil93,201,201,59500,4685,59500,18740.0,11959500,4134399
2015-06-27,oil97,35,35,65500,13194,65500,28273.0,2292500,1010603
2015-06-28,oil93,184,184,59500,4217,59500,18740.0,10948000,3691233
2015-06-28,oil97,28,28,65500,9424,65500,28273.0,1834000,752877
2015-06-29,oil93,189,189,59500,937,59500,18740.0,11245500,3837161
2015-06-29,oil97,36,36,65500,9424,65500,27566.5,2358000,972371
2015-06-30,oil93,217,217,59500,4685,59500,18740.0,12911500,4556593
2015-06-30,oil97,40,40,65500,14137,65500,28273.0,2620000,1151060
2015-07-01,oil93,228,228,59500,6559,59500,18740.0,13566000,4635961
2015-07-01,oil97,29,29,65500,9424,65500,28273.0,1899500,792759
2015-07-02,oil93,106,106,59500,4685,59500,18740.0,6307000,2118014
2015-07-02,oil97,29,29,65500,18849,65500,28273.0,1899500,787897
2015-07-03,oil93,107,107,59500,9370,59500,18740.0,6366500,2188241
2015-07-03,oil97,16,16,65500,18849,65500,26529.5,1048000,448982
2015-07-04,oil93,32,32,59500,4685,59500,18740.0,1904000,618222
2015-07-04,oil97,6,6,65500,14137,65500,26388.5,393000,185662
2015-07-05,oil93,51,51,59500,9370,59500,18740.0,3034500,1095415
2015-07-05,oil97,12,12,65500,14137,65500,23090.0,786000,301111
2015-07-06,oil93,75,75,59500,9370,59500,18740.0,4462500,1621480
2015-07-06,oil97,16,16,65500,9424,65500,18849.0,1048000,350589
2015-07-07,oil93,45,45,59500,9370,59500,18740.0,2677500,939204
2015-07-07,oil97,17,17,65500,16116,65500,23561.0,1113500,450064
2015-07-08,oil93,54,54,58500,9360,58500,21651.0,3159000,1137744
2015-07-08,oil97,19,19,64500,18832,64500,28248.0,1225500,596674
2015-07-09,oil93,107,107,57500,5520,57500,18400.0,6152500,2196742
